3.808,3.242
2.916,3.160
2.381,3.014
3.168,3.222
3.222,2.804
2.823,2.812
3.048,3.243
2.678,2.904
3.487,2.417
3.536,3.441
2.677,3.240
2.787,2.817
2.697,2.903
3.416,3.073
3.019,2.759
2.504,2.933
3.269,2.794
3.506,2.679
2.858,2.946
3.405,2.755
2.564,2.978
3.081,3.354
2.814,2.796
3.386,2.903
2.936,2.854
3.175,3.239
2.687,2.919
3.621,3.220
3.599,3.185
3.500,2.877
3.245,3.337
2.824,2.806
2.776,2.740
2.783,3.366
3.364,3.254
2.586,2.379
3.030,3.153
2.967,3.259
2.966,2.843
2.997,3.034
3.181,2.805
3.406,3.049
3.200,2.503
3.455,2.544
2.846,2.727
2.831,3.034
2.899,3.262
2.784,3.218
3.322,2.852
3.180,2.807
8.072,3.037
7.915,2.746
8.078,2.650
8.279,3.040
7.754,3.039
7.828,2.894
8.352,3.056
7.979,2.885
8.492,3.021
7.594,3.154
7.774,2.338
7.910,2.791
7.629,2.838
7.865,2.513
8.352,3.266
8.051,2.456
7.595,3.371
8.060,2.966
8.262,2.928
7.993,3.304
7.977,2.876
7.432,3.027
7.890,2.878
8.221,2.559
8.107,2.599
8.090,2.830
8.109,3.114
7.999,3.019
7.755,2.989
8.159,3.225
8.356,2.892
8.460,2.889
7.699,2.599
7.615,2.450
8.124,2.752
8.303,2.517
8.165,2.590
8.227,3.026
7.778,3.499
7.799,3.081
8.627,2.761
7.559,3.328
8.553,2.992
8.402,2.772
8.275,3.140
7.849,2.616
7.350,3.006
7.910,2.794
7.722,3.505
8.081,2.720
