7.755,2.989
7.979,2.885
2.697,2.903
7.699,2.599
8.460,2.889
2.564,2.978
7.594,3.154
2.814,2.796
7.799,3.081
7.915,2.746
2.858,2.946
8.072,3.037
7.615,2.450
8.107,2.599
3.269,2.794
7.828,2.894
7.432,3.027
3.808,3.242
3.386,2.903
8.081,2.720
2.997,3.034
2.831,3.034
2.504,2.933
7.774,2.338
2.586,2.379
8.492,3.021
7.778,3.499
3.599,3.185
8.221,2.559
7.890,2.878
8.090,2.830
3.081,3.354
2.824,2.806
3.322,2.852
2.899,3.262
2.784,3.218
2.846,2.727
8.352,3.266
7.595,3.371
2.677,3.240
2.823,2.812
3.500,2.877
3.536,3.441
7.849,2.616
8.553,2.992
7.865,2.513
3.405,2.755
3.506,2.679
3.416,3.073
3.181,2.805
2.967,3.259
8.275,3.140
7.999,3.019
3.200,2.503
8.078,2.650
7.754,3.039
2.678,2.904
8.303,2.517
7.629,2.838
8.227,3.026
8.352,3.056
7.977,2.876
8.109,3.114
8.051,2.456
8.060,2.966
3.245,3.337
2.381,3.014
2.776,2.740
3.019,2.759
7.910,2.794
2.966,2.843
8.159,3.225
3.455,2.544
3.048,3.243
8.262,2.928
8.165,2.590
2.687,2.919
8.124,2.752
8.279,3.040
8.627,2.761
7.722,3.505
3.180,2.807
2.916,3.160
3.621,3.220
3.487,2.417
3.175,3.239
2.783,3.366
3.168,3.222
3.030,3.153
3.222,2.804
8.356,2.892
7.350,3.006
7.993,3.304
3.406,3.049
3.364,3.254
2.936,2.854
8.402,2.772
7.559,3.328
2.787,2.817
7.910,2.791
